-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 01/31/2021 
Location: Latitude  39.905   Longitude 116.3914 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 221.57 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,PS,WS10M,WS50M,QV2M,RH2M,PRECTOTCORR
2000,2,21,-1.86,-13.64,-7.75,-1.41,99.66,2.94,4.21,1.22,40.44,0.0
2000,2,22,0.12,-8.72,-4.3,0.23,99.56,2.22,3.45,1.95,52.69,0.0
2000,2,23,-1.09,-16.1,-8.59,-0.66,100.06,4.25,6.41,0.98,31.06,0.0
2000,2,24,-1.46,-15.59,-8.52,-0.85,100.38,3.3,5.03,1.04,33.06,0.0
2000,2,25,-0.21,-11.81,-6.01,-0.17,99.51,2.75,4.45,1.46,39.88,0.22
2000,2,26,0.52,-13.2,-6.34,0.27,99.36,4.4,6.52,1.28,36.0,0.0
2000,2,27,1.05,-13.68,-6.31,1.3,99.63,5.12,7.61,1.22,32.94,0.0
2000,2,28,-1.39,-14.42,-7.91,-0.27,100.6,3.12,4.6,1.16,36.81,0.0
2000,2,29,0.65,-11.0,-5.17,1.1,100.04,2.0,2.82,1.53,42.94,0.0
2000,3,1,1.56,-5.02,-1.73,1.16,99.62,1.91,2.48,2.69,62.5,0.0
2000,3,2,5.24,-2.84,1.2,4.68,99.15,2.59,3.77,3.11,61.12,0.0
2000,3,3,5.76,-13.15,-3.7,5.52,99.0,4.1,6.66,1.34,27.12,0.0
2000,3,4,4.43,-16.51,-6.04,3.58,99.55,4.23,6.26,0.98,21.81,0.0
2000,3,5,4.98,-15.56,-5.29,4.4,98.84,3.82,5.91,1.04,20.62,0.0
2000,3,6,0.19,-22.07,-10.95,0.63,99.52,5.39,8.03,0.55,16.12,0.0
2000,3,7,0.16,-18.77,-9.31,0.8,99.77,4.26,6.56,0.73,22.06,0.0
2000,3,8,2.04,-14.84,-6.4,2.16,99.59,4.59,6.62,1.1,27.44,0.0
2000,3,9,2.9,-13.36,-5.23,3.67,99.8,3.12,4.84,1.28,30.06,0.0
2000,3,10,4.26,-11.77,-3.76,3.91,99.53,2.0,2.83,1.46,31.0,0.0
2000,3,11,5.16,-12.63,-3.74,5.54,99.07,2.66,3.93,1.34,28.12,0.0
2000,3,12,5.82,-12.2,-3.19,6.26,98.99,3.25,4.8,1.4,28.12,0.0
2000,3,13,4.82,-5.99,-0.59,5.24,99.36,2.48,3.36,2.44,48.81,0.0
2000,3,14,3.38,-3.89,-0.25,4.0,99.52,2.98,3.89,2.99,62.81,1.63
2000,3,15,5.73,-5.13,0.3,6.18,98.76,4.58,6.43,2.69,54.06,4.07
2000,3,16,6.9,-8.92,-1.01,6.94,98.69,4.49,6.72,1.89,35.0,0.0
2000,3,17,8.77,-11.11,-1.17,8.37,98.3,4.11,6.08,1.59,28.06,0.0
2000,3,18,7.11,-10.58,-1.74,7.01,98.61,6.93,9.71,1.65,27.81,0.0
2000,3,19,4.43,-13.31,-4.44,5.41,99.57,3.73,5.5,1.28,28.38,0.0
2000,3,20,1.81,-7.42,-2.81,1.21,99.15,1.88,2.62,2.2,52.69,0.71
2000,3,21,5.83,-4.85,0.49,6.44,99.54,3.86,5.59,2.69,53.44,0.09
2000,3,22,3.76,-3.87,-0.06,2.4,99.34,2.58,3.91,2.99,58.81,0.27
2000,3,23,4.08,-16.2,-6.06,4.15,99.26,7.56,11.45,0.98,22.12,0.0
2000,3,24,4.82,-13.71,-4.45,5.23,99.38,5.11,7.62,1.22,26.69,0.0
2000,3,25,7.73,-10.66,-1.46,8.07,99.25,5.66,8.73,1.65,28.0,0.0
2000,3,26,12.05,-10.32,0.87,12.45,98.25,4.83,7.41,1.71,23.75,0.0
2000,3,27,11.15,-9.81,0.68,11.3,97.58,9.7,12.84,1.77,21.69,0.0
2000,3,28,7.13,-12.39,-2.63,7.66,99.05,8.16,11.56,1.4,23.31,0.0
2000,3,29,8.9,-11.72,-1.41,9.86,99.01,4.15,6.28,1.46,24.12,0.0
2000,3,30,10.55,-5.56,2.5,10.77,98.23,2.92,4.01,2.56,34.44,0.0
2000,3,31,10.94,-10.17,0.39,12.55,98.77,3.65,6.02,1.71,25.12,0.0
2000,4,1,5.25,-2.74,1.25,5.3,99.04,1.98,2.91,3.36,57.5,0.08
2000,4,2,8.37,1.71,5.04,9.87,99.17,2.7,3.66,4.39,67.94,0.22
2000,4,3,10.94,-0.56,5.19,11.73,98.61,4.01,5.71,3.72,54.44,0.0
2000,4,4,8.71,-12.01,-1.65,9.2,98.96,8.59,11.87,1.53,21.94,0.0
2000,4,5,8.81,-16.35,-3.77,10.13,99.09,4.93,7.91,0.98,15.31,0.0
2000,4,6,8.24,-18.43,-5.1,8.58,98.42,8.38,11.77,0.85,14.19,0.0
2000,4,7,9.04,-15.92,-3.44,9.89,99.13,4.38,6.8,0.98,15.12,0.0
2000,4,8,9.55,-7.32,1.12,9.56,98.75,4.25,5.94,2.2,34.81,0.09
2000,4,9,6.38,-13.88,-3.75,6.33,98.81,7.78,10.63,1.53,25.31,0.8
2000,4,10,8.54,-14.63,-3.05,9.18,99.09,4.88,7.25,1.16,17.69,0.0
2000,4,11,14.41,-13.35,0.53,15.14,98.12,4.47,6.67,1.28,15.69,0.0
2000,4,12,17.28,-10.62,3.33,18.26,97.54,5.23,7.57,1.65,15.81,0.0
2000,4,13,12.44,-13.38,-0.46,12.76,98.86,5.93,8.4,1.34,15.38,0.0
2000,4,14,12.77,-10.64,1.07,14.35,99.08,3.54,4.98,1.65,18.62,0.0
2000,4,15,14.21,-10.75,1.73,15.91,98.72,3.76,5.66,1.59,18.5,0.0
2000,4,16,16.37,-11.06,2.65,17.03,98.15,3.47,5.16,1.59,15.94,0.0
2000,4,17,16.16,-7.27,4.45,16.21,98.19,3.05,4.46,2.2,22.88,0.0
2000,4,18,13.43,3.38,8.4,14.13,98.54,3.29,4.51,5.07,51.81,2.85
2000,4,19,14.85,6.44,10.65,15.66,98.3,2.85,3.99,6.16,61.25,9.45
2000,4,20,15.89,1.79,8.83,16.71,97.71,4.86,7.3,4.64,47.25,2.23
2000,4,21,13.76,-5.65,4.05,14.66,97.97,7.44,10.59,2.62,30.75,0.0
2000,4,22,10.84,-9.57,0.63,11.62,98.33,7.97,11.41,1.83,23.62,0.0
2000,4,23,14.12,-7.94,3.09,14.09,98.28,3.83,5.52,2.14,23.38,0.0
2000,4,24,13.87,0.65,7.26,14.04,97.84,3.46,5.12,4.33,44.38,0.55
2000,4,25,13.42,-5.63,3.9,14.53,97.66,6.38,8.7,2.69,31.81,0.02
2000,4,26,13.82,-3.42,5.2,14.74,98.36,6.73,9.36,2.99,31.94,0.01
2000,4,27,16.33,-3.53,6.4,18.2,98.42,3.72,6.11,2.99,28.81,0.0
2000,4,28,17.51,-1.88,7.81,18.12,98.12,3.42,4.73,3.36,29.75,0.0
2000,4,29,15.85,-2.23,6.81,16.04,98.2,5.17,7.29,3.42,34.5,1.81
2000,4,30,19.99,-2.04,8.98,20.8,98.01,5.92,8.96,3.36,25.94,0.0
2000,5,1,19.64,-0.53,9.55,21.64,98.46,3.95,5.7,3.72,28.88,0.0
2000,5,2,19.4,0.21,9.8,20.79,98.49,3.75,4.88,3.91,31.69,0.0
2000,5,3,21.7,-0.8,10.45,23.55,98.23,3.01,4.44,3.66,26.25,0.0
2000,5,4,20.74,0.92,10.83,21.14,98.13,3.43,4.83,4.21,30.38,0.1
2000,5,5,18.51,-5.67,6.42,20.15,99.3,5.41,7.07,2.62,22.19,0.0
2000,5,6,19.99,-9.15,5.42,21.4,99.18,2.38,3.76,1.89,16.12,0.0
2000,5,7,23.51,-11.75,5.88,24.72,98.55,4.42,6.91,1.46,9.88,0.0
2000,5,8,20.33,-3.25,8.55,21.18,98.64,5.05,6.66,3.05,20.94,0.0
2000,5,9,13.24,3.08,8.16,14.05,98.55,3.79,5.06,4.88,51.5,6.96
2000,5,10,15.71,-0.41,7.65,17.06,98.16,4.67,6.77,3.78,38.69,0.03
2000,5,11,17.37,-1.02,8.17,18.18,97.98,4.27,6.26,3.78,32.88,0.02
2000,5,12,17.55,4.94,11.25,19.44,98.08,2.66,3.83,5.62,47.88,0.07
2000,5,13,19.6,2.6,11.1,21.15,98.1,3.54,5.16,4.7,35.5,0.16
2000,5,14,15.05,9.65,12.35,15.2,98.21,3.3,4.57,7.75,71.19,18.35
2000,5,15,17.33,8.73,13.03,19.39,98.56,2.33,3.41,7.2,62.31,0.01
2000,5,16,20.48,6.75,13.62,21.83,98.55,3.09,4.38,6.23,46.06,0.01
2000,5,17,20.9,5.05,12.98,21.23,97.89,3.75,5.75,5.74,39.31,1.03
2000,5,18,17.71,4.23,10.97,18.77,97.64,4.29,6.61,5.31,43.44,2.96
2000,5,19,19.69,3.92,11.8,20.51,97.89,4.34,5.88,5.19,40.31,0.25
2000,5,20,20.53,6.81,13.67,21.08,97.98,3.63,4.86,6.35,46.25,0.0
2000,5,21,22.51,7.56,15.04,23.93,98.04,3.6,5.23,6.71,45.31,0.01
2000,5,22,21.84,9.02,15.44,23.34,98.46,3.05,4.07,7.39,47.62,0.04
2000,5,23,24.59,10.07,17.33,26.08,98.11,2.48,3.25,7.87,44.25,0.0
2000,5,24,26.56,11.07,18.82,27.19,97.98,3.27,4.55,8.42,42.25,0.0
2000,5,25,28.26,11.41,19.84,28.76,97.94,3.72,5.06,8.61,37.75,0.02
2000,5,26,22.65,12.56,17.61,23.79,98.23,4.41,5.76,9.28,55.06,1.68
2000,5,27,20.95,7.33,14.15,22.17,98.2,4.38,6.09,6.65,48.31,12.15
2000,5,28,23.9,2.23,13.07,25.49,98.31,3.84,6.12,4.64,29.75,0.0
2000,5,29,25.16,3.34,14.26,25.81,98.04,4.98,7.24,5.0,27.62,0.0
2000,5,30,22.97,10.44,16.7,24.6,97.55,3.94,5.41,8.12,47.69,0.36
2000,5,31,24.49,9.31,16.9,26.37,97.56,1.95,3.07,7.75,48.31,0.64
2000,6,1,24.01,10.69,17.35,25.98,98.37,2.5,3.3,8.24,48.5,0.0
2000,6,2,24.53,11.44,17.98,26.12,98.72,2.73,3.55,8.54,46.0,0.0
2000,6,3,25.73,10.27,18.0,26.72,98.56,2.34,3.27,7.93,40.75,0.0
2000,6,4,26.76,7.62,17.19,28.12,98.25,2.79,4.54,6.71,32.81,0.0
2000,6,5,27.65,3.64,15.65,29.23,98.12,3.63,5.38,5.13,25.31,0.0
2000,6,6,29.33,3.62,16.48,30.42,97.82,4.28,6.33,5.07,21.62,0.0
2000,6,7,24.72,8.85,16.79,24.81,97.57,3.76,5.52,7.39,38.19,2.17
2000,6,8,25.48,2.23,13.86,26.98,97.61,5.78,7.94,4.76,27.06,0.32
2000,6,9,21.8,4.01,12.9,24.5,98.44,2.72,4.02,5.31,35.5,0.28
2000,6,10,24.37,3.29,13.83,26.71,98.34,2.52,3.62,4.94,27.75,0.05
2000,6,11,25.04,5.17,15.1,26.77,98.51,2.62,3.34,5.62,29.62,0.32
2000,6,12,26.63,1.98,14.3,28.94,98.51,2.8,4.45,4.58,24.62,0.27
2000,6,13,30.2,0.05,15.12,32.34,97.89,3.09,4.88,3.91,17.06,0.0
2000,6,14,31.4,4.05,17.73,33.12,97.58,4.12,6.12,5.25,19.44,0.0
2000,6,15,29.39,8.42,18.9,30.27,97.79,2.77,3.84,7.08,27.88,0.7
2000,6,16,26.96,13.08,20.02,28.03,98.44,3.3,4.78,9.58,44.81,6.68
2000,6,17,26.94,13.23,20.08,28.47,98.87,2.08,2.99,9.64,46.12,0.02
2000,6,18,29.38,9.26,19.32,30.78,98.51,3.16,4.76,7.51,32.25,0.0
2000,6,19,30.4,7.73,19.06,31.4,98.14,4.09,5.99,6.71,26.62,0.0
2000,6,20,29.69,8.64,19.17,30.05,97.92,3.03,4.56,7.2,28.62,0.06
2000,6,21,29.84,11.15,20.5,31.55,97.83,2.94,4.06,8.48,33.0,0.0
2000,6,22,28.85,13.62,21.23,31.05,97.71,3.18,4.27,10.01,41.44,0.0
2000,6,23,28.76,14.0,21.37,30.66,97.54,2.84,3.77,10.25,43.12,2.46
2000,6,24,25.44,17.57,21.5,26.24,97.75,2.11,3.03,12.94,64.38,10.01
2000,6,25,24.37,16.98,20.67,25.71,98.05,2.06,2.8,12.39,66.75,0.8
2000,6,26,27.12,13.19,20.15,28.76,97.73,2.53,3.49,9.83,47.94,0.0
2000,6,27,28.51,13.54,21.02,29.81,97.73,3.3,4.68,10.01,43.88,0.0
2000,6,28,26.73,14.58,20.65,27.01,97.71,2.19,3.09,10.68,49.31,2.36
2000,6,29,27.31,13.9,20.61,28.9,97.33,2.61,3.49,10.25,47.0,0.18
2000,6,30,29.91,7.34,18.62,30.59,97.56,3.84,5.71,6.59,27.62,0.0
2000,7,1,33.05,6.86,19.95,33.89,97.74,2.65,4.12,6.35,22.12,0.0
2000,7,2,32.79,12.17,22.48,33.87,98.04,3.82,5.23,9.16,30.06,0.01
2000,7,3,29.07,19.29,24.18,30.13,98.24,2.73,3.83,14.28,56.81,4.73
2000,7,4,24.38,21.87,23.12,24.4,98.43,3.95,5.52,16.78,86.06,43.88
2000,7,5,24.37,21.95,23.16,24.61,98.72,2.23,3.12,16.78,86.88,14.94
2000,7,6,25.75,20.83,23.3,26.08,98.48,1.7,2.45,15.69,75.44,0.88
2000,7,7,27.35,18.97,23.16,28.01,98.11,2.58,3.74,14.04,62.12,0.01
2000,7,8,28.48,19.03,23.75,29.11,97.82,3.21,4.48,14.16,59.56,3.55
2000,7,9,26.03,19.98,23.01,26.01,97.99,1.52,2.14,14.95,70.31,2.58
2000,7,10,26.93,19.06,22.99,27.61,98.16,2.01,2.91,14.1,63.69,0.14
2000,7,11,30.04,18.24,24.14,31.02,97.66,2.47,4.02,13.49,54.31,0.22
2000,7,12,31.33,15.43,23.38,32.27,97.59,3.16,5.08,11.35,42.06,0.15
2000,7,13,31.91,16.33,24.12,32.65,97.45,3.72,5.62,11.96,43.31,0.0
2000,7,14,31.65,15.69,23.67,32.49,97.44,3.99,5.97,11.54,42.44,0.0
2000,7,15,29.66,19.12,24.4,30.65,97.82,3.32,4.64,14.22,55.75,2.58
2000,7,16,25.96,22.41,24.19,26.7,97.8,2.89,3.92,17.4,82.25,8.41
2000,7,17,28.25,22.42,25.33,29.87,97.78,2.23,2.91,17.46,73.88,3.75
2000,7,18,28.65,23.42,26.04,29.7,97.74,3.06,4.04,18.55,75.31,2.7
2000,7,19,28.16,20.8,24.48,29.99,97.73,2.2,2.84,15.81,67.19,0.08
2000,7,20,29.28,21.48,25.38,30.67,97.54,3.71,4.86,16.48,65.81,0.67
2000,7,21,30.35,19.41,24.88,31.45,97.42,3.59,5.29,14.77,56.44,0.15
2000,7,22,29.48,8.48,18.98,30.26,97.34,4.95,7.62,7.2,30.88,0.0
2000,7,23,29.34,8.29,18.82,30.35,97.14,4.68,7.05,7.08,29.5,0.0
2000,7,24,29.72,9.28,19.5,31.2,97.48,3.42,5.67,7.57,30.69,0.0
2000,7,25,28.91,13.32,21.12,29.81,97.58,2.91,4.07,9.89,42.19,0.0
2000,7,26,29.94,17.57,23.76,31.07,97.35,3.25,4.61,12.94,49.69,0.04
2000,7,27,29.33,21.1,25.21,29.77,97.12,2.09,3.1,16.24,62.31,5.49
2000,7,28,29.08,7.93,18.51,29.76,97.48,3.89,5.8,7.63,35.56,0.06
2000,7,29,27.89,7.72,17.8,28.83,97.25,5.13,7.78,6.84,30.75,0.11
2000,7,30,28.1,10.63,19.37,29.05,97.22,4.24,6.45,8.3,37.25,0.5
2000,7,31,29.32,8.98,19.15,30.73,97.42,2.94,4.62,7.45,31.88,0.01
2000,8,1,29.37,13.14,21.26,30.12,97.85,3.24,4.51,9.77,40.75,0.15
2000,8,2,26.74,19.87,23.31,27.06,98.32,2.37,3.47,14.83,67.75,12.9
2000,8,3,24.52,19.29,21.9,25.23,98.57,2.23,3.16,14.28,75.19,9.99
2000,8,4,26.29,16.43,21.36,27.19,98.65,2.1,2.68,11.9,57.31,0.0
2000,8,5,25.92,16.66,21.29,26.34,98.67,1.71,2.2,12.02,58.0,0.02
2000,8,6,25.56,17.45,21.51,26.36,98.52,2.59,3.5,12.7,62.88,0.89
2000,8,7,25.08,19.72,22.4,26.03,98.5,2.02,2.79,14.65,73.31,3.91
2000,8,8,23.59,22.23,22.91,23.7,98.2,4.59,6.15,17.21,92.25,36.99
2000,8,9,25.33,22.51,23.92,25.6,97.98,1.92,2.82,17.52,85.31,6.51
2000,8,10,26.31,22.51,24.41,26.69,97.88,2.02,2.71,17.52,81.06,20.48
2000,8,11,25.99,23.19,24.59,26.33,98.01,2.04,2.88,18.25,85.31,14.27
2000,8,12,24.76,22.73,23.75,24.77,98.18,1.5,2.15,17.7,88.69,6.95
2000,8,13,25.41,21.43,23.42,26.12,98.01,2.3,3.27,16.36,79.94,2.2
2000,8,14,26.99,20.95,23.98,27.05,97.72,1.8,2.48,15.93,72.06,0.39
2000,8,15,27.94,14.58,21.26,28.24,97.58,2.77,4.48,10.93,50.69,0.0
2000,8,16,27.81,16.68,22.25,27.92,97.73,2.38,3.72,12.33,55.12,0.52
2000,8,17,25.45,20.46,22.95,25.59,98.41,1.7,2.49,15.32,74.69,1.26
2000,8,18,26.52,17.9,22.22,26.87,98.49,2.0,3.11,13.06,61.19,1.62
2000,8,19,23.86,16.56,20.21,23.49,98.29,2.5,3.8,12.02,65.19,2.54
2000,8,20,23.85,13.65,18.75,24.02,98.4,3.6,5.1,9.95,55.56,0.06
2000,8,21,23.99,13.96,18.98,24.57,98.39,2.1,2.88,10.19,55.75,0.08
2000,8,22,22.33,17.31,19.82,22.13,98.4,1.49,2.04,12.63,74.31,4.42
2000,8,23,25.08,16.27,20.68,25.51,98.3,2.29,3.49,11.84,63.81,2.24
2000,8,24,26.72,14.48,20.6,27.04,98.35,1.92,2.98,10.56,50.31,0.38
2000,8,25,26.56,14.55,20.55,26.81,98.24,1.92,2.89,10.62,51.06,0.14
2000,8,26,26.19,17.39,21.79,26.29,98.17,2.12,2.96,12.7,60.81,4.65
2000,8,27,24.15,18.15,21.15,24.19,98.58,1.89,2.53,13.24,70.94,20.32
2000,8,28,23.63,18.53,21.08,23.9,98.69,2.39,3.46,13.55,74.38,2.98
2000,8,29,24.16,17.68,20.92,24.67,98.47,2.05,2.8,12.88,68.81,0.07
2000,8,30,22.69,18.96,20.83,22.84,98.37,1.84,2.37,13.98,80.31,2.53
2000,8,31,23.77,17.37,20.57,24.44,97.94,2.54,3.68,12.7,70.81,0.1
2000,9,1,25.57,16.08,20.82,25.85,97.95,2.3,3.32,11.72,58.62,0.01
2000,9,2,26.42,17.77,22.09,26.62,98.45,2.03,2.82,12.94,60.69,0.0
2000,9,3,26.18,18.23,22.2,26.48,98.58,2.46,3.58,13.31,63.38,0.84
2000,9,4,22.14,18.04,20.08,22.13,98.62,3.23,4.36,13.24,78.12,11.08
2000,9,5,19.64,8.82,14.23,20.02,99.07,3.74,5.8,7.39,55.75,7.78
2000,9,6,17.48,2.46,9.97,17.83,99.07,3.43,5.19,4.64,40.19,0.0
2000,9,7,19.2,5.37,12.29,19.81,98.96,3.02,5.05,5.68,44.06,0.0
2000,9,8,20.34,6.56,13.45,20.44,99.0,3.07,5.01,6.16,44.88,0.0
2000,9,9,20.78,7.87,14.32,21.08,99.05,2.48,4.08,6.71,47.44,0.0
2000,9,10,20.47,8.01,14.24,20.57,98.94,2.89,4.79,6.77,47.69,0.0
2000,9,11,21.08,8.01,14.55,21.19,98.79,3.1,4.66,6.84,47.56,0.0
2000,9,12,20.67,9.09,14.88,20.12,99.08,1.62,2.23,7.32,49.5,0.03
2000,9,13,21.54,10.48,16.01,21.91,99.16,2.34,3.64,8.0,52.75,0.0
2000,9,14,22.26,10.55,16.4,22.46,98.92,2.18,3.1,8.06,50.12,0.0
2000,9,15,21.95,9.22,15.58,22.44,98.48,2.42,3.76,7.45,48.19,0.0
2000,9,16,23.77,7.4,15.59,23.84,98.05,3.65,6.05,6.65,39.75,0.0
2000,9,17,21.97,7.61,14.79,22.67,98.32,2.77,4.65,6.65,44.19,0.0
2000,9,18,20.78,11.69,16.23,21.1,98.46,2.38,3.38,8.73,60.0,0.07
2000,9,19,21.41,13.04,17.23,21.15,98.74,2.52,3.59,9.52,61.88,0.07
2000,9,20,19.14,16.09,17.62,18.71,99.24,2.11,3.46,11.6,82.81,2.13
2000,9,21,20.37,15.33,17.84,20.73,99.36,2.13,3.23,10.99,75.06,2.85
2000,9,22,20.77,14.12,17.45,20.8,99.0,2.82,4.06,10.19,67.44,0.33
2000,9,23,20.82,8.99,14.9,21.19,98.73,3.66,5.64,7.63,52.44,0.11
