-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/04/2021 
Location: Latitude  60.1756   Longitude 24.9342 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 9.17 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,QV2M,RH2M,PRECTOTCORR
2018,2,15,102.69,3.79,4.83,2.83,2.0,4.59,6.16,3.31,2.85,2.38,88.75,0.21
2018,2,16,102.12,3.52,3.94,3.24,0.7,4.25,4.9,3.85,1.05,2.38,90.81,0.38
2018,2,17,102.05,4.38,5.01,3.18,1.82,5.27,5.99,3.95,2.05,2.5,94.62,0.72
2018,2,18,102.2,3.49,3.95,3.0,0.95,4.2,4.83,3.41,1.41,2.01,95.38,0.07
2018,2,19,102.38,4.19,5.35,3.39,1.96,4.85,6.29,3.81,2.48,1.89,97.69,0.15
2018,2,20,102.63,3.51,4.73,2.64,2.09,4.06,5.48,2.83,2.66,1.71,95.56,0.06
2018,2,21,102.7,2.71,3.51,2.02,1.48,3.14,4.11,2.17,1.94,1.65,95.88,0.11
2018,2,22,102.91,1.39,2.84,0.16,2.69,1.53,3.15,0.12,3.03,1.22,72.81,0.02
2018,2,23,102.76,4.01,6.1,1.06,5.05,4.66,7.27,1.04,6.24,1.59,83.31,0.28
2018,2,24,103.52,5.48,5.99,5.12,0.87,6.38,7.05,5.79,1.26,1.53,98.81,0.08
2018,2,25,103.43,5.52,7.02,4.67,2.35,6.55,8.58,5.43,3.15,1.77,96.69,0.37
2018,2,26,103.14,6.62,8.83,5.05,3.77,7.89,10.36,6.08,4.28,1.77,93.69,1.57
2018,2,27,104.15,9.05,9.44,8.05,1.38,10.45,10.83,9.34,1.48,1.28,99.94,1.31
2018,2,28,104.48,6.46,7.65,5.32,2.33,7.41,8.89,6.3,2.59,1.34,100.0,0.16
2018,3,1,103.48,4.36,5.2,3.31,1.89,5.03,6.18,3.59,2.59,1.59,97.5,0.04
2018,3,2,102.09,5.46,6.05,3.98,2.08,6.51,7.34,4.81,2.52,1.95,89.62,0.03
2018,3,3,101.18,3.81,4.61,3.2,1.4,4.48,5.8,3.52,2.28,1.89,93.44,0.04
2018,3,4,100.8,3.52,4.05,2.83,1.23,4.15,4.98,3.12,1.86,1.77,88.69,0.02
2018,3,5,101.04,3.95,5.52,2.73,2.79,4.76,6.79,3.39,3.4,2.01,87.12,0.31
2018,3,6,100.75,6.64,7.52,5.52,1.99,7.89,8.88,6.55,2.33,2.32,86.38,0.11
2018,3,7,100.67,5.94,6.71,5.12,1.59,6.98,8.02,6.12,1.9,2.56,94.0,0.51
2018,3,8,100.55,6.43,7.12,4.94,2.18,7.59,8.48,5.89,2.59,2.81,94.38,1.71
2018,3,9,100.47,4.98,6.28,4.33,1.95,6.27,7.55,5.16,2.39,3.42,95.44,1.87
2018,3,10,100.84,3.21,4.0,2.5,1.5,4.27,5.07,3.72,1.35,3.48,95.75,0.68
2018,3,11,101.08,2.87,4.05,1.88,2.18,4.02,5.07,3.15,1.91,3.48,95.75,0.4
2018,3,12,100.41,5.56,7.03,3.83,3.2,6.87,8.68,4.59,4.09,3.42,97.0,4.56
2018,3,13,99.13,3.19,3.95,1.97,1.97,5.32,6.98,3.23,3.74,3.91,97.5,10.09
2018,3,14,100.17,6.91,7.78,2.97,4.81,8.61,9.55,5.28,4.27,2.87,89.81,0.49
2018,3,15,101.68,6.47,7.36,5.88,1.48,7.84,8.91,7.1,1.81,1.95,89.88,0.1
2018,3,16,102.37,5.97,7.06,5.06,2.0,7.22,8.48,5.95,2.54,1.89,93.56,0.26
2018,3,17,102.52,5.09,6.56,3.65,2.91,6.14,8.18,4.24,3.94,2.01,88.19,0.03
2018,3,18,101.33,7.46,8.17,6.34,1.83,9.18,10.3,7.66,2.64,2.99,89.62,0.03
2018,3,19,100.1,6.36,8.14,4.82,3.33,7.95,10.41,6.0,4.41,3.48,93.31,1.3
2018,3,20,100.65,5.68,8.07,3.24,4.82,6.82,9.63,3.98,5.66,2.62,90.12,0.49
2018,3,21,101.2,5.43,7.97,1.45,6.52,6.64,9.93,1.61,8.33,2.14,81.12,0.11
2018,3,22,99.84,7.35,8.91,6.07,2.84,9.11,11.18,7.58,3.6,3.54,95.69,2.05
2018,3,23,100.32,4.19,7.37,0.4,6.97,5.03,9.11,0.44,8.67,2.56,81.38,0.05
2018,3,24,100.2,7.44,9.83,3.72,6.12,9.4,12.86,4.55,8.32,3.11,89.56,0.37
2018,3,25,99.72,6.42,7.3,4.0,3.3,8.73,10.03,4.81,5.22,3.85,95.12,0.35
2018,3,26,100.85,5.52,7.07,4.19,2.88,6.61,8.32,5.06,3.26,2.26,75.25,1.24
2018,3,27,101.49,3.23,4.33,2.38,1.95,3.91,5.32,2.78,2.54,1.95,71.62,0.04
2018,3,28,101.35,4.52,6.02,2.47,3.55,5.49,7.53,2.94,4.59,2.5,80.0,0.67
2018,3,29,101.55,1.94,2.81,0.85,1.96,2.33,3.62,0.91,2.71,2.62,84.62,0.21
2018,3,30,101.28,2.7,4.31,0.44,3.88,3.33,5.58,0.45,5.14,2.62,79.31,0.0
2018,3,31,101.11,2.51,3.45,1.4,2.05,3.0,4.32,2.07,2.24,2.93,87.69,0.02
2018,4,1,100.83,5.1,7.57,1.87,5.71,6.22,9.27,2.07,7.2,3.17,90.81,0.03
2018,4,2,99.15,6.97,8.5,5.2,3.3,8.35,10.34,6.2,4.14,3.48,93.69,13.8
2018,4,3,100.26,5.82,7.24,2.46,4.79,7.51,8.64,3.84,4.8,3.3,90.06,0.03
2018,4,4,100.8,4.25,5.77,0.88,4.9,6.21,9.37,1.14,8.23,3.6,91.62,5.37
2018,4,5,100.21,3.75,4.98,1.73,3.25,6.05,8.05,2.67,5.38,4.52,98.12,3.51
2018,4,6,100.05,5.43,7.85,3.08,4.78,7.75,10.03,4.99,5.04,4.03,94.06,1.02
2018,4,7,102.01,5.33,7.88,3.57,4.32,7.46,10.1,5.99,4.11,3.48,82.56,0.0
2018,4,8,101.5,3.01,5.18,0.98,4.21,4.53,7.09,1.32,5.77,4.03,88.75,0.24
2018,4,9,100.75,4.05,6.62,3.06,3.56,6.01,9.09,4.48,4.62,4.46,92.88,0.27
2018,4,10,101.92,4.91,7.14,3.84,3.3,7.02,8.88,5.77,3.11,3.42,79.19,1.68
2018,4,11,102.91,3.05,4.65,2.24,2.41,3.95,6.07,3.02,3.05,3.36,84.19,0.02
2018,4,12,102.75,2.05,3.27,1.23,2.03,2.63,3.8,1.66,2.13,3.11,72.94,0.0
2018,4,13,102.79,3.3,4.52,1.98,2.53,5.03,7.45,2.94,4.52,3.36,76.88,0.0
2018,4,14,102.33,2.83,4.33,1.3,3.02,4.13,7.38,1.88,5.49,4.21,77.69,0.0
2018,4,15,101.74,1.52,2.06,0.38,1.69,2.13,2.98,0.62,2.36,4.88,91.06,0.3
2018,4,16,101.37,2.3,3.22,1.27,1.95,3.48,5.04,1.75,3.29,5.86,96.81,5.12
2018,4,17,101.23,3.39,4.3,1.34,2.96,5.3,6.86,1.9,4.96,5.13,93.19,0.28
2018,4,18,101.64,4.01,4.79,2.89,1.9,6.39,7.78,4.13,3.64,5.07,90.69,0.16
2018,4,19,101.99,4.34,4.98,3.77,1.2,6.91,7.99,6.18,1.82,5.0,84.94,0.12
2018,4,20,101.37,4.45,5.79,2.47,3.33,6.72,9.0,3.81,5.19,5.19,94.62,0.04
2018,4,21,99.86,6.43,7.95,5.08,2.88,10.09,11.75,6.69,5.06,5.0,85.19,1.39
2018,4,22,100.98,2.84,5.16,1.3,3.86,4.09,7.79,1.49,6.3,4.46,88.44,0.64
2018,4,23,101.35,3.29,6.12,1.34,4.78,4.64,8.85,1.48,7.37,3.91,81.75,0.04
2018,4,24,100.08,4.02,6.05,2.41,3.65,6.32,8.83,3.76,5.06,4.88,93.25,1.24
2018,4,25,99.54,3.23,4.43,1.83,2.6,5.16,6.95,2.67,4.28,5.07,95.88,1.85
2018,4,26,99.75,3.81,5.23,2.25,2.98,5.96,8.43,3.9,4.54,4.76,88.12,0.12
2018,4,27,100.57,4.09,4.99,3.26,1.73,5.45,6.9,3.93,2.97,4.7,93.56,0.58
2018,4,28,101.18,3.49,4.23,2.84,1.38,5.03,6.16,4.51,1.66,4.76,93.5,0.28
2018,4,29,101.28,2.21,2.98,1.5,1.48,3.38,5.03,2.09,2.94,5.31,95.88,9.74
2018,4,30,101.34,2.13,5.02,0.69,4.33,2.98,5.92,0.82,5.09,4.88,92.19,0.23
2018,5,1,100.68,4.55,8.99,1.45,7.54,6.13,11.38,2.1,9.27,5.25,95.44,29.22
2018,5,2,101.12,4.06,5.92,0.74,5.18,6.44,9.31,1.15,8.16,5.31,93.19,2.63
2018,5,3,101.64,3.62,6.2,1.12,5.08,5.39,9.94,1.54,8.4,5.25,91.06,4.41
2018,5,4,101.55,4.84,5.74,3.74,2.0,7.09,8.94,6.1,2.84,5.25,90.19,1.01
2018,5,5,102.23,2.62,3.72,1.68,2.04,4.08,6.14,2.46,3.68,5.0,79.06,0.03
2018,5,6,102.31,3.67,4.62,2.57,2.05,5.73,7.09,4.02,3.08,5.43,87.0,0.0
2018,5,7,102.01,3.37,4.47,2.06,2.41,5.05,7.48,2.32,5.16,5.8,90.69,0.14
2018,5,8,102.09,2.84,3.71,1.7,2.01,4.45,6.36,2.28,4.08,5.62,76.44,0.03
2018,5,9,102.28,4.35,5.32,2.9,2.42,6.97,8.48,4.42,4.05,5.25,80.06,0.0
2018,5,10,102.25,4.66,5.26,3.91,1.34,7.53,8.39,5.95,2.44,5.62,78.81,0.0
2018,5,11,102.36,3.68,4.39,3.12,1.27,5.88,7.95,4.66,3.27,6.1,77.56,0.0
2018,5,12,102.38,2.47,3.43,1.16,2.27,3.59,5.45,1.52,3.93,5.86,67.62,0.0
2018,5,13,102.29,1.93,2.55,1.52,1.03,2.75,3.99,2.12,1.88,5.19,55.56,0.0
2018,5,14,102.14,2.3,2.87,0.84,2.02,3.3,4.26,1.14,3.12,6.9,68.25,0.0
2018,5,15,101.69,2.11,3.36,0.7,2.66,3.13,5.64,0.93,4.71,6.84,60.5,0.0
2018,5,16,101.27,2.66,3.71,1.27,2.44,4.15,6.43,1.88,4.55,8.42,82.38,0.02
2018,5,17,101.14,1.68,3.07,0.46,2.61,2.46,5.23,0.59,4.65,8.06,77.0,0.17
2018,5,18,101.06,3.92,5.26,1.08,4.19,6.4,8.27,1.47,6.8,7.2,78.19,1.05
2018,5,19,101.78,3.75,5.38,2.7,2.69,5.46,7.11,4.07,3.04,6.1,72.0,0.0
2018,5,20,102.41,2.79,4.31,1.22,3.09,4.08,7.02,1.6,5.42,6.29,72.0,0.03
2018,5,21,102.66,3.22,3.86,1.57,2.29,4.97,6.66,2.2,4.46,6.77,70.88,0.0
2018,5,22,102.09,2.26,3.3,1.1,2.19,3.38,5.54,1.48,4.05,7.45,69.0,0.61
2018,5,23,101.89,3.25,4.34,2.34,2.01,5.23,7.49,3.41,4.09,8.36,79.44,0.68
2018,5,24,102.69,3.3,4.7,2.15,2.56,4.74,6.41,3.3,3.11,7.32,78.75,0.02
2018,5,25,102.92,2.03,3.3,1.5,1.8,2.91,4.91,1.91,3.0,6.59,67.44,0.0
2018,5,26,102.74,1.77,3.62,0.64,2.98,2.7,6.8,0.9,5.89,7.51,68.06,0.0
2018,5,27,102.68,3.48,4.56,2.87,1.7,5.48,6.54,4.46,2.09,7.87,73.94,0.01
2018,5,28,103.03,2.74,3.97,2.07,1.91,4.0,5.88,2.88,3.01,7.57,72.56,0.0
2018,5,29,102.22,4.12,6.04,2.76,3.28,6.29,9.14,3.4,5.74,8.3,74.5,0.0
2018,5,30,101.88,4.02,5.57,3.12,2.45,6.07,8.27,5.0,3.27,8.3,74.69,0.01
2018,5,31,102.39,3.39,5.75,1.12,4.63,4.11,7.14,1.24,5.89,6.65,68.88,0.0
2018,6,1,101.87,4.52,4.98,4.0,0.98,6.52,7.23,5.28,1.94,7.45,71.75,0.0
2018,6,2,100.96,4.17,5.05,3.12,1.93,6.35,8.35,4.35,4.0,8.91,77.56,0.12
2018,6,3,100.63,4.92,5.73,3.38,2.36,7.22,9.24,4.77,4.48,8.24,74.94,0.01
2018,6,4,99.83,6.48,8.77,3.92,4.85,8.84,10.95,5.87,5.08,7.02,68.25,0.83
2018,6,5,100.27,8.34,9.7,6.05,3.66,10.22,11.88,7.34,4.53,5.13,66.31,0.39
2018,6,6,101.31,4.99,5.93,4.19,1.74,5.98,7.09,5.1,1.98,5.43,70.69,0.56
2018,6,7,101.37,5.99,9.1,3.92,5.17,7.82,11.75,4.7,7.05,6.1,74.5,0.06
2018,6,8,101.44,3.56,4.83,1.56,3.27,4.8,6.88,2.38,4.5,5.68,69.31,0.03
2018,6,9,101.54,2.91,4.35,1.44,2.91,4.03,5.84,2.16,3.68,6.35,73.81,0.0
2018,6,10,101.1,2.05,3.79,0.87,2.92,2.91,6.05,1.15,4.9,6.96,72.94,0.41
2018,6,11,100.17,3.57,4.23,2.87,1.37,5.66,6.83,4.3,2.54,8.97,84.06,0.04
2018,6,12,99.87,3.38,4.45,1.97,2.48,5.54,6.64,2.89,3.75,8.12,80.5,4.19
2018,6,13,100.65,2.42,4.01,0.82,3.2,3.4,5.66,1.21,4.45,6.84,71.81,0.01
2018,6,14,101.11,1.88,3.73,0.97,2.77,2.87,6.61,1.41,5.2,7.14,69.06,0.0
2018,6,15,101.22,3.98,4.99,2.65,2.34,6.43,7.96,4.77,3.2,8.79,81.69,0.0
2018,6,16,101.66,1.64,2.71,0.98,1.73,2.41,4.41,1.44,2.97,8.18,72.69,0.01
2018,6,17,101.51,2.45,3.61,1.3,2.3,3.77,6.46,1.66,4.8,9.34,76.06,0.04
2018,6,18,101.13,5.15,7.14,3.43,3.71,6.95,9.2,4.58,4.62,9.34,80.06,0.07
2018,6,19,100.41,8.17,12.02,5.66,6.36,10.34,15.33,7.22,8.11,8.97,83.56,5.15
2018,6,20,100.55,7.6,9.18,5.96,3.22,9.55,11.7,7.62,4.08,7.81,74.81,0.12
2018,6,21,100.19,3.05,5.7,1.06,4.63,4.23,7.01,1.76,5.26,8.97,89.19,17.09
2018,6,22,99.47,9.88,12.23,2.37,9.87,12.22,15.3,3.27,12.03,7.75,82.69,9.84
2018,6,23,100.78,5.91,8.1,3.77,4.34,7.42,9.82,4.88,4.94,7.51,79.44,0.27
2018,6,24,100.86,3.95,6.09,2.95,3.14,5.55,8.62,3.77,4.86,7.69,79.94,4.56
2018,6,25,101.11,2.45,5.12,0.84,4.29,3.57,6.96,1.22,5.74,8.54,83.38,1.33
2018,6,26,102.2,2.25,3.27,1.57,1.7,3.52,5.45,2.29,3.16,8.54,80.75,0.0
2018,6,27,102.55,3.77,4.42,2.98,1.44,5.86,7.16,4.41,2.75,8.61,80.25,0.0
2018,6,28,101.96,3.88,5.05,2.53,2.52,6.26,8.32,3.61,4.71,8.91,78.88,0.03
2018,6,29,100.71,5.78,6.93,3.84,3.09,7.99,9.61,5.72,3.89,8.18,80.75,8.65
2018,6,30,101.44,5.81,6.29,5.16,1.12,7.68,8.72,6.81,1.91,6.84,73.5,0.05
2018,7,1,101.82,6.66,8.09,5.66,2.44,9.11,10.98,7.24,3.74,7.14,73.94,0.01
2018,7,2,101.18,6.61,8.23,4.06,4.16,8.34,10.08,5.85,4.23,7.93,85.5,2.59
2018,7,3,100.68,2.73,4.95,1.29,3.65,3.61,6.25,1.87,4.38,8.97,93.5,13.97
2018,7,4,100.55,2.38,3.73,0.02,3.72,3.41,4.95,0.09,4.86,8.48,83.5,0.41
2018,7,5,100.13,2.38,5.7,0.61,5.09,3.82,8.96,1.18,7.78,9.7,89.19,7.07
2018,7,6,100.05,4.74,6.77,2.69,4.09,7.02,8.77,4.11,4.66,9.83,87.62,2.07
2018,7,7,100.67,4.26,4.81,3.65,1.16,6.94,7.78,5.76,2.02,10.31,83.31,0.07
2018,7,8,100.99,3.45,4.59,2.15,2.44,5.31,6.76,3.79,2.97,10.44,87.0,1.27
2018,7,9,101.31,1.84,2.38,1.06,1.31,2.85,3.55,1.52,2.02,10.19,86.12,0.26
2018,7,10,101.89,2.17,2.88,1.09,1.79,3.19,4.5,1.54,2.96,9.83,84.62,0.09
2018,7,11,101.9,2.19,2.66,1.5,1.16,2.98,3.73,2.41,1.31,9.83,83.06,0.03
2018,7,12,101.63,2.04,3.3,1.34,1.96,2.94,5.72,1.62,4.1,10.93,82.5,0.09
2018,7,13,101.26,2.46,3.46,1.35,2.11,3.62,5.55,1.95,3.62,11.41,78.75,0.13
2018,7,14,101.03,1.7,3.0,0.7,2.3,2.45,4.4,1.02,3.38,11.66,71.25,0.17
2018,7,15,101.11,2.16,3.39,1.19,2.2,3.08,4.3,1.7,2.61,12.51,73.25,0.06
2018,7,16,101.35,2.67,3.38,2.27,1.1,4.02,5.11,3.03,2.08,13.0,74.06,0.01
2018,7,17,101.37,3.96,4.73,3.3,1.44,6.2,7.77,4.24,3.52,13.49,76.31,0.01
2018,7,18,101.27,4.38,5.42,3.69,1.73,6.79,8.09,5.51,2.58,13.37,77.0,0.0
2018,7,19,101.11,3.78,4.98,2.73,2.26,5.5,6.64,4.73,1.91,13.18,80.62,0.03
2018,7,20,100.76,3.38,4.86,1.53,3.33,4.54,6.55,2.38,4.18,14.16,92.94,18.85
2018,7,21,100.39,2.7,4.25,0.86,3.39,3.55,5.62,1.11,4.52,13.61,85.88,2.14
2018,7,22,100.73,3.54,4.23,2.97,1.27,4.75,5.5,3.52,1.98,12.7,82.12,0.07
2018,7,23,101.09,1.63,3.49,0.73,2.77,2.05,4.57,0.83,3.74,11.6,74.81,0.0
2018,7,24,101.31,1.8,2.79,1.03,1.76,2.38,3.96,1.2,2.77,13.06,79.12,0.09
2018,7,25,101.56,2.11,3.68,1.26,2.42,2.93,5.16,1.44,3.71,13.37,77.88,0.01
2018,7,26,101.82,1.78,3.48,0.3,3.17,2.32,4.7,0.47,4.23,13.43,76.62,0.11
2018,7,27,102.14,3.55,4.82,2.51,2.31,5.0,6.6,3.04,3.55,13.49,78.06,0.01
2018,7,28,101.98,6.59,7.52,5.0,2.52,8.95,10.79,6.57,4.21,14.89,85.75,2.66
2018,7,29,101.88,5.41,6.95,4.11,2.84,7.57,9.16,6.56,2.59,14.95,89.19,3.01
2018,7,30,102.07,4.74,5.33,3.99,1.34,7.05,7.87,6.16,1.71,14.4,86.06,0.53
2018,7,31,102.16,3.43,3.95,2.91,1.05,5.21,6.41,4.57,1.84,13.98,83.56,0.92
2018,8,1,102.14,2.04,3.38,0.73,2.63,3.02,5.55,1.02,4.52,13.49,76.0,0.89
2018,8,2,101.97,1.38,2.16,0.46,1.7,2.04,3.42,0.65,2.77,13.55,76.0,0.4
2018,8,3,101.29,4.25,5.73,2.78,2.95,6.13,8.28,4.3,3.98,13.24,79.12,0.43
2018,8,4,100.81,3.97,4.89,2.69,2.21,5.07,6.34,3.59,2.74,12.15,79.31,1.56
2018,8,5,100.42,4.42,5.49,2.93,2.56,5.55,6.93,3.93,3.0,11.6,79.31,2.53
2018,8,6,100.5,7.01,9.45,4.96,4.5,8.56,11.67,5.86,5.81,9.22,69.88,0.13
2018,8,7,101.07,4.61,6.51,3.84,2.68,5.78,7.89,4.72,3.16,9.22,68.69,0.12
2018,8,8,101.64,2.15,3.97,0.91,3.05,3.02,6.88,1.27,5.6,9.46,69.25,0.0
2018,8,9,101.64,4.95,5.8,3.91,1.89,7.7,9.21,6.77,2.45,11.78,74.5,0.0
2018,8,10,101.48,5.35,6.27,4.02,2.25,8.51,10.28,6.85,3.43,12.76,77.88,0.67
2018,8,11,101.33,6.16,8.2,3.32,4.88,7.74,10.2,4.25,5.95,10.19,72.31,0.7
2018,8,12,100.28,4.48,5.31,2.74,2.57,5.36,6.31,3.32,2.99,9.83,81.69,7.02
2018,8,13,100.42,6.24,8.1,4.78,3.33,7.53,9.89,5.8,4.09,8.67,74.38,0.79
2018,8,14,100.98,2.92,4.53,0.33,4.2,3.49,5.57,0.62,4.96,8.36,71.31,0.04
2018,8,15,100.92,2.05,3.33,0.4,2.93,2.38,3.97,0.42,3.55,9.34,74.5,0.46
2018,8,16,101.67,1.84,2.45,0.77,1.68,2.32,3.26,0.85,2.41,9.34,72.56,0.0
